,Brand,Manufacturer,Part Number,Item Weight,Package Dimensions,Country of Origin,Item model number,Batteries,Color,Style,Item Package Quantity,Display Style,Special Features,Included Components,Batteries Included?,Batteries Required?,Battery Cell Type,Description Pile,Battery Capacity,Warranty Description,rating,price,ASIN,Date First Available,Memory Storage Capacity,Standing screen display size,Ram Memory Installed Size,Product Dimensions,Max Screen Resolution,RAM,Average Battery Life (in hours),Is Discontinued By Manufacturer,OS,Wireless communication technologies,Connectivity technologies,Other display features,Other camera features,Form Factor,Battery Power Rating,Whats in the box,Weight,Charging Time,GPS,Human Interface Input,Special features,Display technology,Scanner Resolution,Audio Jack,Phone Talk Time,Phone Standby Time (with data),Department,Display resolution,Language,Units,Number Of Items
12,SAMSUNG Galaxy A14 5G A Series Cell Phone,SAMSUNG,,204 Grams,,Vietnam,SM-A146UZKDXAA,1 Lithium Ion batteries required. (included),,,,,,,,,,,5000,,4.24.2,199.,B0BLW47H3M,"January 27, 2023",64 GB,6.6 Inches,4 GB,0.36 x 3.1 x 6.6 inches,,,,,,,,,,,,,,142 minutes,,,,,,,,,,,,,
13,Simple Mobile Motorola Moto g Power,MOTOROLA INC,,0.8 Pounds,,China,SMMTXT2165DCP,1 Lithium Polymer batteries required. (included),,,,,,,,,,,5000,,4.14.1,69.,B0BHF39GQD,"October 5, 2022",128 GB,6.52 Inches,4 GB,2.04 x 6.31 x 8.25 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Tracfone Motorola moto g Pure (2021),Motorola,,188 Grams,,China,TFMTXT2163DCP,1 Lithium Ion batteries required. (included),,,,,,,,,,,4000 Milliamp Hours,,4.34.3,49.,B09NWDJQ78,"December 20, 2021",32 GB,6.5 Inches,3 GB,6.51 x 2.97 x 0.35 inches,,,,No,,,,,,,,,,150 minutes,,,,,,,,,,,,,
15,SAMSUNG Galaxy Z Flip 5 Cell Phone + Storage Upgrade + $150 Amazon Gift Card,Samsung,,,,,,,,,,,,,,,,,,,,449.,B0CCC135GH,"July 26, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Nokia C300 | Verizon,HMD Global Oy,,6.7 ounces,,China,TA-1515,1 Lithium Polymer batteries required. (included),Ocean Blue,,,,,,,,,,,,5.05.0,139.,B0C92C436C,"June 26, 2023",3 GB,6.52 Inches,3 GB,6.56 x 3.02 x 0.34 inches,,3 GB,,,Android 12.0,,"Bluetooth, Wi-Fi, USB",Wireless,"Rear, Front",Slate,4000,"Power Adapter, SIM Tray Ejector, USB Cable",6.7 Ounces,3 Hours,True,"Touchscreen, Microphone, Buttons","Expandable Memory, Built-In GPS, Mobile Hotspot Capability",,,3.5 mm,12 Hours,,,,,,
17,Motorola Moto G Stylus | 2023 | Unlocked | Made for US 4/64GB | 50 MP Camera | Midnight Blue,Motorola,,6.9 ounces,,China,PAXW0002US,1 Lithium Ion batteries required. (included),Blue,,,,,,,,,,,,4.54.5,169.,B0BYLRBG4M,"April 27, 2023",6 GB,6.5 Inches,4 GB,6.41 x 2.92 x 0.36 inches,,4 GB,,,Android 13.0,"Cellular, Wi-Fi","Bluetooth, Wi-Fi, USB Type C",Wireless,"Rear, Front",Slate,5000,"Power Adapter, SIM Tray Ejector, Stylus Pen, USB Cable",195 Grams,,True,"Touchscreen, Microphone","Stereo Speakers, Expandable Memory, Built-In GPS, Mobile Hotspot Capability, Water Resistant",,1600 x 720,3.5 mm,,,,,,,
18,Simple Mobile Samsung Galaxy A03s,SAMSUNG,,12.8 ounces,,China,SMSAS134DCP,1 Lithium Ion batteries required. (included),BLACK,,,,,,,,,,5 Milliamp Hours,,4.14.1,49.,B0BBXD7S5R,"August 25, 2022",32 GB,6.51 Inches,3 GB,2.04 x 6.31 x 8.25 inches,,3 GB,,,Android 11.0,,"Bluetooth, Wi-Fi, USB",Wireless,"Rear, Front",Smartphone,5000 Milliampere Hour (mAh),"User Manual, Service Guide, Charger, USB Cable",0.8 Pounds,218 minutes,True,Touchscreen,,,,,,,,,,,
19,TracFone BLU View 2 (2022) 4G LTE,BLU,,0.141 ounces,,China,TFBLB131DCP,1 Lithium Ion batteries required. (included),Black,,,,,,,,,,3000,,4.04.0,29.,B09XFJY4N4,"May 15, 2022",32 GB,5.5 Inches,3 GB,2.81 x 0.74 x 6.5 inches,,13 GB,,,Android 11.0,Cellular,Wi-Fi,Wireless,"Rear, Front",Smartphone,3000,"Phone, Charger, Activation Guide, Cable",0.14 Ounces,,,Touchscreen,"Single SIM, Camera, Video Shooting Modes, USB Type C, United States, 2.00 GHz CPU Speed",,,,13.4 Hours,,,,,,
20,Nokia G10 | Android 11 | Unlocked Smartphone | 3-Day Battery | Dual SIM | US Version | 3/32GB | 6.52-Inch Screen | 13MP Triple Camera | Dusk,HMD Global Oy,,6.8 Ounces,,China,TA-1338,1 Lithium Ion batteries required. (included),,,,,,,,,,,5050 Milliamp Hours,,3.63.6,99.,B093QPJSKJ,"June 14, 2021",512 GB,6.52 Inches,3 GB,6.49 x 2.99 x 0.36 inches,,,,,,,,,,,,,,3 Hours,,,,,,,,,,,,,
21,Nokia G50 5G | Android 11 | Unlocked Smartphone | US Version | 4/128GB | 6.82-Inch Screen | 48MP Triple Camera | Ocean Blue,HMD Global Oy,,6.7 ounces,,China,TA-1390,1 Lithium Polymer batteries required. (included),Ocean Blue,,,,,,,,,,5000 Milliamp Hours,,3.73.7,199.,B09GW969LH,"September 22, 2021",128 GB,6.82 Inches,512 GB,6.85 x 3.05 x 0.35 inches,,4 GB,,,Android 11.0,"Bluetooth, Cellular","Bluetooth, Wi-Fi, USB, NFC",Wireless,"Rear, Front",Slate,4850,"SIM Tray Ejector, Screen Protector, USB Cable",6.7 Ounces,3 Hours,True,"Touchscreen, Microphone, Buttons","Fingerprint, Octa Core Processor, Camera, LTE, Smartphone",,,3.5 mm,18 Hours,48 hours,,,,,
22,SAMSUNG Galaxy S22 Ultra Cell Phone,Samsung Electronincs,,8.04 Ounces,,Vietnam,SM-S908UZKEXAA,1 Lithium Ion batteries required. (included),,,,,,,,,,,5000 Milliamp Hours,,4.64.6,799.,B09MW19JW2,"February 9, 2022",256 GB,6.8 Inches,12 GB,6.43 x 3.07 x 0.35 inches,,,,,,,,,,,,,,59 minutes,,,,,,,,,,,,,
